destination,state,region,latitude,longitude,destination_type,best_months,worst_months,crowd_peak_months,crowd_index_avg,budget_per_day_inr,temperature_range_c,rainfall_risk,season_score,crowd_variability,accessibility_score,offbeat
Manali,Himachal Pradesh,north,32.2396,77.1887,hill_station,"Mar,Apr,May,Jun,Sep,Oct","Jul,Aug","May,Jun,Dec",8,4500,5-22,medium,9,8,8,False
Shimla,Himachal Pradesh,north,31.1048,77.1734,hill_station,"Mar,Apr,May,Oct,Nov","Jul,Aug","May,Jun,Dec",8,5000,8-24,medium,8,7,9,False
Leh,Ladakh,north,34.1526,77.5771,mountain,"May,Jun,Jul,Aug,Sep","Jan,Feb,Mar","Jun,Jul",7,6000,5-20,low,9,7,6,False
Srinagar,Jammu and Kashmir,north,34.0837,74.7973,nature,"Apr,May,Jun,Sep,Oct","Jan,Feb","Apr,May",7,5000,7-25,medium,9,6,7,False
Dharamshala,Himachal Pradesh,north,32.219,76.3234,hill_station,"Mar,Apr,May,Oct","Jul,Aug","May,Jun",6,4000,10-24,medium,8,6,8,False
Nainital,Uttarakhand,north,29.3919,79.4542,hill_station,"Mar,Apr,May,Oct,Nov","Jul,Aug","May,Jun",8,4500,10-25,medium,8,7,8,False
Mussoorie,Uttarakhand,north,30.4598,78.0664,hill_station,"Mar,Apr,May,Oct","Jul,Aug","May,Jun",8,4500,9-24,medium,8,7,8,False
Rishikesh,Uttarakhand,north,30.0869,78.2676,nature,"Oct,Nov,Dec,Feb,Mar,Apr","Jul,Aug","Mar,Apr",7,3500,12-30,medium,8,6,9,False
Varanasi,Uttar Pradesh,north,25.3176,82.9739,culture,"Oct,Nov,Dec,Jan,Feb,Mar","May,Jun,Jul","Nov,Dec",8,3000,15-32,low,9,5,9,False
Agra,Uttar Pradesh,north,27.1767,78.0081,culture,"Oct,Nov,Dec,Jan,Feb,Mar","May,Jun","Dec,Jan",9,3500,10-32,low,8,5,10,False
Jaipur,Rajasthan,west,26.9124,75.7873,city,"Oct,Nov,Dec,Jan,Feb,Mar","May,Jun","Dec,Jan",8,4000,12-33,low,9,6,10,False
Udaipur,Rajasthan,west,24.5854,73.7125,culture,"Oct,Nov,Dec,Jan,Feb,Mar","May,Jun","Dec,Jan",7,4500,12-32,low,9,6,9,False
Jaisalmer,Rajasthan,west,26.9157,70.9083,desert,"Oct,Nov,Dec,Jan,Feb","May,Jun,Jul","Dec,Jan",7,4500,10-30,low,8,6,7,False
Pushkar,Rajasthan,west,26.4898,74.5511,culture,"Oct,Nov,Dec,Jan,Feb","May,Jun",Nov,7,3500,12-30,low,8,6,7,False
Mount Abu,Rajasthan,west,24.5926,72.7156,hill_station,"Oct,Nov,Dec,Jan,Feb,Mar","Jul,Aug",Dec,6,4000,12-28,medium,7,6,7,False
